Customer_Name,Province,Region,Customer_Segment,Cust_id,id,id
MUHAMMED MACINTYRE,NUNAVUT,NUNAVUT,SMALL BUSINESS,Cust_1,1,1
BARRY FRENCH,NUNAVUT,NUNAVUT,CONSUMER,Cust_2,2,2
CLAY ROZENDAL,NUNAVUT,NUNAVUT,CORPORATE,Cust_3,3,3
CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,Cust_4,4,4
CARL JACKSON,NUNAVUT,NUNAVUT,CORPORATE,Cust_5,5,5
MONICA FEDERLE,NUNAVUT,NUNAVUT,CORPORATE,Cust_6,6,6
DOROTHY BADDERS,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_7,7,7
NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_8,8,8
CARLOS DALY,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_9,9,9
CLAUDIA MINER,NUNAVUT,NUNAVUT,SMALL BUSINESS,Cust_10,10,10
ALLEN ROSENBLATT,NUNAVUT,NUNAVUT,SMALL BUSINESS,Cust_11,11,11
SYLVIA FOULSTON,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_12,12,12
JIM RADFORD,NUNAVUT,NUNAVUT,CORPORATE,Cust_13,13,13
CARL LUDWIG,NUNAVUT,NUNAVUT,CORPORATE,Cust_14,14,14
DON MILLER,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_15,15,15
ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_16,16,16
GRANT CARROLL,NUNAVUT,NUNAVUT,SMALL BUSINESS,Cust_17,17,17
ALAN BARNES,NUNAVUT,NUNAVUT,CORPORATE,Cust_18,18,18
JACK GARZA,NUNAVUT,NUNAVUT,CORPORATE,Cust_19,19,19
JULIA WEST,NUNAVUT,NUNAVUT,CORPORATE,Cust_20,20,20
EUGENE BARCHAS,NUNAVUT,NUNAVUT,CORPORATE,Cust_21,21,21
EDWARD HOOKS,NUNAVUT,NUNAVUT,CONSUMER,Cust_22,22,22
BRAD EASON,NUNAVUT,NUNAVUT,SMALL BUSINESS,Cust_23,23,23
NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,Cust_24,24,24
DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,Cust_25,25,25
AARON BERGMAN,NUNAVUT,NUNAVUT,CORPORATE,Cust_26,26,26
DON JONES,NUNAVUT,NUNAVUT,CORPORATE,Cust_27,27,27
BETH THOMPSON,NUNAVUT,NUNAVUT,CORPORATE,Cust_28,28,28
FRANK PRICE,NUNAVUT,NUNAVUT,CORPORATE,Cust_29,29,29
MICHELLE LONSDALE,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_30,30,30
ANN CHONG,NUNAVUT,NUNAVUT,CORPORATE,Cust_31,31,31
JOY BELL,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_32,32,32
